  0.00000000E+00  0.11137521E+02  0.86683717E+00  0.30185596E+01
  0.28947368E-01  0.11137521E+02  0.86683717E+00  0.29849581E+01
  0.57894737E-01  0.11137521E+02  0.86683717E+00  0.29513849E+01
  0.86842105E-01  0.11137521E+02  0.86683717E+00  0.29178774E+01
  0.11578947E+00  0.11137521E+02  0.86683717E+00  0.28844705E+01
  0.14473684E+00  0.11137521E+02  0.86683717E+00  0.28511974E+01
  0.17368421E+00  0.11137521E+02  0.86683717E+00  0.28180890E+01
  0.20263158E+00  0.11137521E+02  0.86683717E+00  0.27851739E+01
  0.23157895E+00  0.11137521E+02  0.86683717E+00  0.27524791E+01
  0.26052632E+00  0.11137521E+02  0.86683717E+00  0.27200291E+01
  0.28947368E+00  0.11137521E+02  0.86683717E+00  0.26878467E+01
  0.31842105E+00  0.11137521E+02  0.86683717E+00  0.26559528E+01
  0.34736842E+00  0.11137521E+02  0.86683717E+00  0.26243661E+01
  0.37631579E+00  0.11137521E+02  0.86683717E+00  0.25931037E+01
  0.40526316E+00  0.11137521E+02  0.86683717E+00  0.25621810E+01
  0.43421053E+00  0.11137521E+02  0.86683717E+00  0.25316117E+01
  0.46315789E+00  0.11137521E+02  0.86683717E+00  0.25014077E+01
  0.49210526E+00  0.11137521E+02  0.86683717E+00  0.24715795E+01
  0.52105263E+00  0.11137521E+02  0.86683717E+00  0.24421364E+01
  0.55000000E+00  0.11137521E+02  0.86683717E+00  0.24130859E+01
  0.00000000E+00  0.11174182E+02  0.89157491E+00  0.29853502E+01
  0.28947368E-01  0.11174182E+02  0.89157491E+00  0.29521182E+01
  0.57894737E-01  0.11174182E+02  0.89157491E+00  0.29189141E+01
  0.86842105E-01  0.11174182E+02  0.89157491E+00  0.28857750E+01
  0.11578947E+00  0.11174182E+02  0.89157491E+00  0.28527355E+01
  0.14473684E+00  0.11174182E+02  0.89157491E+00  0.28198282E+01
  0.17368421E+00  0.11174182E+02  0.89157491E+00  0.27870838E+01
  0.20263158E+00  0.11174182E+02  0.89157491E+00  0.27545307E+01
  0.23157895E+00  0.11174182E+02  0.89157491E+00  0.27221953E+01
  0.26052632E+00  0.11174182E+02  0.89157491E+00  0.26901021E+01
  0.28947368E+00  0.11174182E+02  0.89157491E+00  0.26582737E+01
  0.31842105E+00  0.11174182E+02  0.89157491E+00  0.26267305E+01
  0.34736842E+00  0.11174182E+02  0.89157491E+00  0.25954911E+01
  0.37631579E+00  0.11174182E+02  0.89157491E+00  0.25645725E+01
  0.40526316E+00  0.11174182E+02  0.89157491E+00  0.25339899E+01
  0.43421053E+00  0.11174182E+02  0.89157491E+00  0.25037567E+01
  0.46315789E+00  0.11174182E+02  0.89157491E+00  0.24738848E+01
  0.49210526E+00  0.11174182E+02  0.89157491E+00  0.24443847E+01
  0.52105263E+00  0.11174182E+02  0.89157491E+00  0.24152654E+01
  0.55000000E+00  0.11174182E+02  0.89157491E+00  0.23865344E+01
  0.00000000E+00  0.11210843E+02  0.91701860E+00  0.29523301E+01
  0.28947368E-01  0.11210843E+02  0.91701860E+00  0.29194654E+01
  0.57894737E-01  0.11210843E+02  0.91701860E+00  0.28866284E+01
  0.86842105E-01  0.11210843E+02  0.91701860E+00  0.28538556E+01
  0.11578947E+00  0.11210843E+02  0.91701860E+00  0.28211813E+01
  0.14473684E+00  0.11210843E+02  0.91701860E+00  0.27886378E+01
  0.17368421E+00  0.11210843E+02  0.91701860E+00  0.27562554E+01
  0.20263158E+00  0.11210843E+02  0.91701860E+00  0.27240621E+01
  0.23157895E+00  0.11210843E+02  0.91701860E+00  0.26920842E+01
  0.26052632E+00  0.11210843E+02  0.91701860E+00  0.26603458E+01
  0.28947368E+00  0.11210843E+02  0.91701860E+00  0.26288692E+01
  0.31842105E+00  0.11210843E+02  0.91701860E+00  0.25976747E+01
  0.34736842E+00  0.11210843E+02  0.91701860E+00  0.25667807E+01
  0.37631579E+00  0.11210843E+02  0.91701860E+00  0.25362039E+01
  0.40526316E+00  0.11210843E+02  0.91701860E+00  0.25059594E+01
  0.43421053E+00  0.11210843E+02  0.91701860E+00  0.24760604E+01
  0.46315789E+00  0.11210843E+02  0.91701860E+00  0.24465188E+01
  0.49210526E+00  0.11210843E+02  0.91701860E+00  0.24173449E+01
  0.52105263E+00  0.11210843E+02  0.91701860E+00  0.23885475E+01
  0.55000000E+00  0.11210843E+02  0.91701860E+00  0.23601341E+01
  0.00000000E+00  0.11247504E+02  0.94318841E+00  0.29195012E+01
  0.28947368E-01  0.11247504E+02  0.94318841E+00  0.28870017E+01
  0.57894737E-01  0.11247504E+02  0.94318841E+00  0.28545296E+01
  0.86842105E-01  0.11247504E+02  0.94318841E+00  0.28221210E+01
  0.11578947E+00  0.11247504E+02  0.94318841E+00  0.27898098E+01
  0.14473684E+00  0.11247504E+02  0.94318841E+00  0.27576280E+01
  0.17368421E+00  0.11247504E+02  0.94318841E+00  0.27256054E+01
  0.20263158E+00  0.11247504E+02  0.94318841E+00  0.26937699E+01
  0.23157895E+00  0.11247504E+02  0.94318841E+00  0.26621474E+01
  0.26052632E+00  0.11247504E+02  0.94318841E+00  0.26307617E+01
  0.28947368E+00  0.11247504E+02  0.94318841E+00  0.25996349E+01
  0.31842105E+00  0.11247504E+02  0.94318841E+00  0.25687871E+01
  0.34736842E+00  0.11247504E+02  0.94318841E+00  0.25382365E+01
  0.37631579E+00  0.11247504E+02  0.94318841E+00  0.25079995E+01
  0.40526316E+00  0.11247504E+02  0.94318841E+00  0.24780912E+01
  0.43421053E+00  0.11247504E+02  0.94318841E+00  0.24485245E+01
  0.46315789E+00  0.11247504E+02  0.94318841E+00  0.24193113E+01
  0.49210526E+00  0.11247504E+02  0.94318841E+00  0.23904616E+01
  0.52105263E+00  0.11247504E+02  0.94318841E+00  0.23619843E+01
  0.55000000E+00  0.11247504E+02  0.94318841E+00  0.23338867E+01
  0.00000000E+00  0.11284165E+02  0.97010505E+00  0.28868627E+01
  0.28947368E-01  0.11284165E+02  0.97010505E+00  0.28547263E+01
  0.57894737E-01  0.11284165E+02  0.97010505E+00  0.28226170E+01
  0.86842105E-01  0.11284165E+02  0.97010505E+00  0.27905704E+01
  0.11578947E+00  0.11284165E+02  0.97010505E+00  0.27586202E+01
