  0.14285700E-03  0.14692924E+04
  0.14518057E-03  0.14947458E+04
  0.14754195E-03  0.15206390E+04
  0.14994174E-03  0.15469793E+04
  0.15238055E-03  0.15737745E+04
  0.15485905E-03  0.16010324E+04
  0.15737783E-03  0.16287607E+04
  0.15993760E-03  0.16569676E+04
  0.16253900E-03  0.16856614E+04
  0.16518271E-03  0.17148504E+04
  0.16786942E-03  0.17445428E+04
  0.17059983E-03  0.17747475E+04
  0.17337465E-03  0.18054731E+04
  0.17619461E-03  0.18367287E+04
  0.17906043E-03  0.18685230E+04
  0.18197287E-03  0.19008653E+04
  0.18493266E-03  0.19337648E+04
  0.18794061E-03  0.19672313E+04
  0.19099748E-03  0.20012741E+04
  0.19410407E-03  0.20359032E+04
  0.19726120E-03  0.20711286E+04
  0.20046967E-03  0.21069601E+04
  0.20373031E-03  0.21434081E+04
  0.20704402E-03  0.21804835E+04
  0.21041161E-03  0.22181963E+04
  0.21383397E-03  0.22565576E+04
  0.21731200E-03  0.22955783E+04
  0.22084660E-03  0.23352695E+04
  0.22443868E-03  0.23756425E+04
  0.22808921E-03  0.24167091E+04
  0.23179910E-03  0.24584806E+04
  0.23556933E-03  0.25009689E+04
  0.23940088E-03  0.25441863E+04
  0.24329476E-03  0.25881449E+04
  0.24725198E-03  0.26328573E+04
  0.25127355E-03  0.26783358E+04
  0.25536054E-03  0.27245935E+04
  0.25951399E-03  0.27716434E+04
  0.26373501E-03  0.28194988E+04
  0.26802469E-03  0.28681730E+04
  0.27238413E-03  0.29176797E+04
  0.27681449E-03  0.29680328E+04
  0.28131690E-03  0.30192464E+04
  0.28589254E-03  0.30713346E+04
  0.29054262E-03  0.31243123E+04
  0.29526831E-03  0.31781938E+04
  0.30007087E-03  0.32329944E+04
  0.30495157E-03  0.32887294E+04
  0.30991162E-03  0.33454137E+04
  0.31495237E-03  0.34030634E+04
  0.32007509E-03  0.34616941E+04
  0.32528112E-03  0.35213219E+04
  0.33057187E-03  0.35819636E+04
  0.33594864E-03  0.36436352E+04
  0.34141288E-03  0.37063539E+04
  0.34696599E-03  0.37701365E+04
  0.35260942E-03  0.38350005E+04
  0.35834464E-03  0.39009635E+04
  0.36417315E-03  0.39680435E+04
  0.37009645E-03  0.40362583E+04
  0.37611610E-03  0.41056266E+04
  0.38223371E-03  0.41761673E+04
  0.38845075E-03  0.42478979E+04
  0.39476893E-03  0.43208388E+04
  0.40118988E-03  0.43950088E+04
  0.40771525E-03  0.44704276E+04
  0.41434679E-03  0.45471156E+04
  0.42108616E-03  0.46250923E+04
  0.42793521E-03  0.47043791E+04
  0.43489563E-03  0.47849959E+04
  0.44196923E-03  0.48669635E+04
  0.44915788E-03  0.49503037E+04
  0.45646346E-03  0.50350382E+04
  0.46388787E-03  0.51211887E+04
  0.47143307E-03  0.52087775E+04
  0.47910097E-03  0.52978268E+04
  0.48689358E-03  0.53883590E+04
  0.49481295E-03  0.54803977E+04
  0.50286110E-03  0.55739657E+04
  0.51104024E-03  0.56690877E+04
  0.51935236E-03  0.57657859E+04
  0.52779966E-03  0.58640848E+04
  0.53638439E-03  0.59640094E+04
  0.54510869E-03  0.60655833E+04
  0.55397496E-03  0.61688329E+04
  0.56298540E-03  0.62737823E+04
  0.57214237E-03  0.63804570E+04
  0.58144831E-03  0.64888837E+04
  0.59090562E-03  0.65990878E+04
  0.60051674E-03  0.67110959E+04
  0.61028420E-03  0.68249347E+04
  0.62021057E-03  0.69406317E+04
  0.63029832E-03  0.70582125E+04
  0.64055025E-03  0.71777064E+04
  0.65096885E-03  0.72991395E+04
  0.66155694E-03  0.74225404E+04
  0.67231717E-03  0.75479366E+04
  0.68325247E-03  0.76753577E+04
  0.69436562E-03  0.78048320E+04
  0.70565957E-03  0.79363885E+04
  0.71713716E-03  0.80700555E+04
  0.72880148E-03  0.82058632E+04
  0.74065543E-03  0.83438402E+04
  0.75270230E-03  0.84840183E+04
  0.76494508E-03  0.86264259E+04
  0.77738698E-03  0.87710934E+04
  0.79003119E-03  0.89180508E+04
  0.80288126E-03  0.90673317E+04
  0.81594018E-03  0.92189629E+04
  0.82921150E-03  0.93729773E+04
  0.84269869E-03  0.95294057E+04
  0.85640522E-03  0.96882788E+04
  0.87033471E-03  0.98496281E+04
  0.88449083E-03  0.10013485E+05
  0.89887713E-03  0.10179880E+05
  0.91349742E-03  0.10348845E+05
  0.92835551E-03  0.10520412E+05
  0.94345530E-03  0.10694612E+05
  0.95880072E-03  0.10871478E+05
  0.97439566E-03  0.11051038E+05
  0.99024428E-03  0.11233327E+05
  0.10063508E-02  0.11418378E+05
  0.10227192E-02  0.11606218E+05
  0.10393538E-02  0.11796881E+05
  0.10562590E-02  0.11990396E+05
  0.10734391E-02  0.12186795E+05
  0.10908987E-02  0.12386107E+05
  0.11086422E-02  0.12588364E+05
  0.11266744E-02  0.12793597E+05
  0.11449999E-02  0.13001835E+05
  0.11636233E-02  0.13213107E+05
  0.11825498E-02  0.13427446E+05
  0.12017840E-02  0.13644878E+05
  0.12213312E-02  0.13865436E+05
  0.12411962E-02  0.14089146E+05
  0.12613844E-02  0.14316037E+05
  0.12819010E-02  0.14546137E+05
  0.13027513E-02  0.14779471E+05
  0.13239406E-02  0.15016064E+05
  0.13454747E-02  0.15255946E+05
  0.13673589E-02  0.15499140E+05
  0.13895991E-02  0.15745670E+05
  0.14122010E-02  0.15995561E+05
  0.14351706E-02  0.16248836E+05
  0.14585137E-02  0.16505514E+05
  0.14822366E-02  0.16765621E+05
  0.15063453E-02  0.17029176E+05
  0.15308462E-02  0.17296198E+05
  0.15557455E-02  0.17566704E+05
  0.15810498E-02  0.17840714E+05
  0.16067656E-02  0.18118241E+05
  0.16328998E-02  0.18399302E+05
  0.16594591E-02  0.18683912E+05
  0.16864504E-02  0.18972083E+05
  0.17138806E-02  0.19263825E+05
  0.17417569E-02  0.19559146E+05
  0.17700867E-02  0.19858059E+05
  0.17988778E-02  0.20160574E+05
  0.18281368E-02  0.20466688E+05
  0.18578715E-02  0.20776406E+05
  0.18880900E-02  0.21089736E+05
  0.19187999E-02  0.21406674E+05
  0.19500094E-02  0.21727221E+05
  0.19817264E-02  0.22051374E+05
  0.20139594E-02  0.22379129E+05
  0.20467166E-02  0.22710479E+05
  0.20800066E-02  0.23045417E+05
  0.21138380E-02  0.23383930E+05
  0.21482198E-02  0.23726008E+05
  0.21831608E-02  0.24071635E+05
  0.22186700E-02  0.24420794E+05
  0.22547569E-02  0.24773468E+05
  0.22914308E-02  0.25129637E+05
  0.23287009E-02  0.25489272E+05
  0.23665775E-02  0.25852355E+05
  0.24050702E-02  0.26218855E+05
  0.24441888E-02  0.26588739E+05
  0.24839436E-02  0.26961977E+05
  0.25243453E-02  0.27338536E+05
  0.25654040E-02  0.27718373E+05
  0.26071304E-02  0.28101452E+05
  0.26495357E-02  0.28487730E+05
  0.26926305E-02  0.28877159E+05
  0.27364262E-02  0.29269692E+05
  0.27809344E-02  0.29665279E+05
  0.28261674E-02  0.30063874E+05
  0.28721353E-02  0.30465406E+05
  0.29188508E-02  0.30869821E+05
  0.29663261E-02  0.31277057E+05
