  2.00000000e-01  3.50000000e-01  2.00000000e+01 3.00000000e+01 7.85099971e+02
  2.00000000e-01  3.50000000e-01  3.00000000e+01 4.50000000e+01 3.88308311e+02
  2.00000000e-01  3.50000000e-01  4.50000000e+01 6.00000000e+01 1.27219981e+02
  2.00000000e-01  3.50000000e-01  6.00000000e+01 2.00000000e+02 9.38946707e+01
  3.50000000e-01  5.00000000e-01  2.00000000e+01 3.00000000e+01 1.59595781e+03
  3.50000000e-01  5.00000000e-01  3.00000000e+01 4.50000000e+01 6.93997833e+02
  3.50000000e-01  5.00000000e-01  4.50000000e+01 6.00000000e+01 1.93415744e+02
  3.50000000e-01  5.00000000e-01  6.00000000e+01 2.00000000e+02 1.51676007e+02
  5.00000000e-01  6.50000000e-01  2.00000000e+01 3.00000000e+01 1.66086765e+03
  5.00000000e-01  6.50000000e-01  3.00000000e+01 4.50000000e+01 7.09488856e+02
  5.00000000e-01  6.50000000e-01  4.50000000e+01 6.00000000e+01 2.12033302e+02
  5.00000000e-01  6.50000000e-01  6.00000000e+01 2.00000000e+02 9.49264803e+01
