n_lnm	sel_function_s	num_counts_s	rs1h_s	total_s	delta_Nc_pct	note
256	0.384	0.083	0.097	1.36	0.00	reference
192	0.224	0.121	0.085	1.15	0.01	whole-pipeline optimum
128	0.148	0.273	0.080	1.22	0.03
96	0.113	0.211	0.076	1.13	0.07
64	0.072	0.207	0.077	1.11	-4.55	GL resonance — avoid
48	0.055	0.262	0.062	1.18	0.33
