  2.00000000e-01  3.50000000e-01  2.00000000e+01 3.00000000e+01 1.39575530e+01 
  2.00000000e-01  3.50000000e-01  3.00000000e+01 4.50000000e+01 1.42346796e+01 
  2.00000000e-01  3.50000000e-01  4.50000000e+01 6.00000000e+01 1.43662153e+01 
  2.00000000e-01  3.50000000e-01  6.00000000e+01 2.00000000e+02 1.46679761e+01 
  3.50000000e-01  5.00000000e-01  2.00000000e+01 3.00000000e+01 1.39104144e+01 
  3.50000000e-01  5.00000000e-01  3.00000000e+01 4.50000000e+01 1.41851959e+01 
  3.50000000e-01  5.00000000e-01  4.50000000e+01 6.00000000e+01 1.43755176e+01 
  3.50000000e-01  5.00000000e-01  6.00000000e+01 2.00000000e+02 1.46554527e+01 
  5.00000000e-01  6.50000000e-01  2.00000000e+01 3.00000000e+01 1.38066878e+01 
  5.00000000e-01  6.50000000e-01  3.00000000e+01 4.50000000e+01 1.41585305e+01 
  5.00000000e-01  6.50000000e-01  4.50000000e+01 6.00000000e+01 1.43782153e+01 
  5.00000000e-01  6.50000000e-01  6.00000000e+01 2.00000000e+02 1.45936112e+01 
