  2.00000000e-01  3.50000000e-01  2.00000000e+01 3.00000000e+01 14.036
  2.00000000e-01  3.50000000e-01  3.00000000e+01 4.50000000e+01 14.323
  2.00000000e-01  3.50000000e-01  4.50000000e+01 6.00000000e+01 14.454
  2.00000000e-01  3.50000000e-01  6.00000000e+01 2.00000000e+02 14.758
  3.50000000e-01  5.00000000e-01  2.00000000e+01 3.00000000e+01 14.007
  3.50000000e-01  5.00000000e-01  3.00000000e+01 4.50000000e+01 14.291
  3.50000000e-01  5.00000000e-01  4.50000000e+01 6.00000000e+01 14.488
  3.50000000e-01  5.00000000e-01  6.00000000e+01 2.00000000e+02 14.744
  5.00000000e-01  6.50000000e-01  2.00000000e+01 3.00000000e+01 13.929
  5.00000000e-01  6.50000000e-01  3.00000000e+01 4.50000000e+01 14.301
  5.00000000e-01  6.50000000e-01  4.50000000e+01 6.00000000e+01 14.493
  5.00000000e-01  6.50000000e-01  6.00000000e+01 2.00000000e+02 14.724
