lt,zt,lc_lt_integrated,status,error,prob
97, 0.3, 0.738942, 0, 7.24734e-05, 7.73435e-07
98, 0.3, 0.721277, 0, 6.99389e-05, 9.47753e-07
99, 0.3, 0.702664, 0, 6.94035e-05, 1.53309e-06
100, 0.3, 0.683102, 0, 6.65722e-05, 1.02624e-06
101, 0.3, 0.663792, 0, 6.53291e-05, 1.46376e-06
102, 0.3, 0.643615, 0, 6.38516e-05, 2.29773e-06
103, 0.3, 0.622614, 0, 6.21615e-05, 3.24782e-06
104, 0.3, 0.600839, 0, 5.85237e-05, 2.54597e-06
105, 0.3, 0.578376, 0, 5.65303e-05, 3.66868e-06
106, 0.3, 0.555307, 0, 5.4403e-05, 5.37094e-06
107, 0.3, 0.531737, 0, 5.21635e-05, 7.01893e-06
108, 0.3, 0.507781, 0, 4.98276e-05, 1.0393e-05
109, 0.3, 0.483562, 0, 4.74018e-05, 1.38438e-05
110, 0.3, 0.459212, 0, 4.49263e-05, 1.81849e-05
111, 0.3, 0.434864, 0, 4.23923e-05, 2.51375e-05
112, 0.3, 0.410656, 0, 4.10592e-05, 5.49449e-05
113, 0.3, 0.38671, 0, 3.8462e-05, 6.62617e-05
114, 0.3, 0.363155, 0, 3.59068e-05, 9.60815e-05
115, 0.3, 0.340107, 0, 3.33887e-05, 0.000127976
116, 0.3, 0.31767, 0, 3.0966e-05, 0.00016398
117, 0.3, 0.295938, 0, 2.95362e-05, 0.000362522
118, 0.3, 0.27499, 0, 2.72321e-05, 0.000464576
119, 0.3, 0.254893, 0, 2.50159e-05, 0.00061774
120, 0.3, 0.235697, 0, 2.29384e-05, 0.000771009
121, 0.3, 0.217639, 0, 2.16059e-05, 0.00106333
122, 0.3, 0.200564, 0, 1.96626e-05, 0.00128008
123, 0.3, 0.184504, 0, 1.78714e-05, 0.00160644
124, 0.3, 0.169465, 0, 1.67911e-05, 0.00250327
125, 0.3, 0.155445, 0, 1.52497e-05, 0.00307334
126, 0.3, 0.14242, 0, 1.38596e-05, 0.00353941
127, 0.3, 0.130357, 0, 1.26089e-05, 0.00403198
128, 0.3, 0.119219, 0, 1.19122e-05, 0.00541023
129, 0.3, 0.108955, 0, 1.08647e-05, 0.0058009
130, 0.3, 0.0995186, 0, 9.61195e-06, 0.00522195
131, 0.3, 0.0908602, 0, 8.84819e-06, 0.00535014
132, 0.3, 0.0829266, 0, 8.18839e-06, 0.00498127
133, 0.3, 0.0756676, 0, 7.37964e-06, 0.00373557
134, 0.3, 0.0690292, 0, 6.70929e-06, 0.00273776
135, 0.3, 0.0629667, 0, 6.1711e-06, 0.00102958
136, 0.3, 0.0574328, 0, 5.59296e-06, 0.00032894
137, 0.3, 0.0523842, 0, 5.16065e-06, 0.000170806
138, 0.3, 0.0477775, 0, 4.72093e-06, 1.31612e-05
139, 0.3, 0.0435767, 0, 4.31635e-06, 2.49478e-07
140, 0.3, 0.0397449, 0, 3.95685e-06, 1.64082e-09
141, 0.3, 0.035752, 0, 3.50818e-06, 2.45149e-09
142, 0.3, 0.0321272, 0, 3.15815e-06, 8.76695e-09
143, 0.3, 0.028842, 0, 2.82649e-06, 2.10236e-08
144, 0.3, 0.0258708, 0, 2.57048e-06, 1.1779e-07
145, 0.3, 0.0231872, 0, 2.27124e-06, 5.09977e-07
146, 0.3, 0.0207672, 0, 2.03789e-06, 3.76474e-06
147, 0.3, 0.0185883, 0, 1.81217e-06, 2.75323e-05
148, 0.3, 0.0166294, 0, 1.64357e-06, 0.000262177
