lt,zt,lc_lt_integrated,status,error,prob
100.5, 0.005, -0.000345786, 0, 2.97024e-08, 0.027535
100.5, 0.015, -0.00032112, 0, 2.72531e-08, 0.0278004
100.5, 0.025, -0.000292551, 0, 2.44799e-08, 0.026945
100.5, 0.035, -0.000259832, 0, 2.14927e-08, 0.0261389
100.5, 0.045, -0.00022277, 0, 1.81527e-08, 0.0270893
100.5, 0.055, -0.000181254, 0, 1.47099e-08, 0.0248092
100.5, 0.065, -0.000135292, 0, 1.07961e-08, 0.026387
100.5, 0.075, -8.50536e-05, 0, 6.6858e-09, 0.0270499
100.5, 0.085, -3.09262e-05, 0, 2.38839e-09, 0.0245839
100.5, 0.095, 2.64129e-05, 0, 2.0107e-09, 0.022623
100.5, 0.105, 8.59092e-05, 0, 6.42983e-09, 0.0207025
100.5, 0.115, 0.000146015, 0, 1.07474e-08, 0.0202922
100.5, 0.125, 0.000204541, 0, 1.48142e-08, 0.0170008
100.5, 0.135, 0.000258445, 0, 1.85037e-08, 0.0147884
100.5, 0.145, 0.000303536, 0, 2.14978e-08, 0.0155743
100.5, 0.155, 0.000346658, 0, 2.46145e-08, 0.0157159
100.5, 0.165, 0.000396161, 0, 2.84734e-08, 0.0153647
100.5, 0.175, 0.000443388, 0, 3.21781e-08, 0.0174862
100.5, 0.185, 0.000488367, 0, 3.58383e-08, 0.0199949
100.5, 0.195, 0.000531139, 0, 3.9378e-08, 0.0212801
100.5, 0.205, 0.000557322, 0, 4.11983e-08, 0.0208354
100.5, 0.215, 0.000568161, 0, 4.12461e-08, 0.0175208
100.5, 0.225, 0.000578324, 0, 4.12191e-08, 0.0156083
100.5, 0.235, 0.000587576, 0, 4.11463e-08, 0.0164133
100.5, 0.245, 0.000595658, 0, 4.08499e-08, 0.0154725
100.5, 0.255, 0.000573998, 0, 3.94086e-08, 0.0155912
100.5, 0.265, 0.000525425, 0, 3.69146e-08, 0.0167733
100.5, 0.275, 0.000479382, 0, 3.43379e-08, 0.0139646
100.5, 0.285, 0.000435994, 0, 3.1891e-08, 0.0198377
100.5, 0.295, 0.000395318, 0, 2.9491e-08, 0.0216764
100.5, 0.305, 0.000357351, 0, 2.70805e-08, 0.022185
100.5, 0.315, 0.000322048, 0, 2.47424e-08, 0.0236853
100.5, 0.325, 0.000289328, 0, 2.25517e-08, 0.0255024
100.5, 0.335, 0.000259086, 0, 2.0397e-08, 0.0270351
100.5, 0.345, 0.000231203, 0, 1.84025e-08, 0.0264815
100.5, 0.355, 0.000205549, 0, 1.65472e-08, 0.0257046
100.5, 0.365, 0.000181992, 0, 1.47877e-08, 0.0254049
100.5, 0.375, 0.000160402, 0, 1.30167e-08, 0.0263463
100.5, 0.385, 0.000140651, 0, 1.14621e-08, 0.0272986
100.5, 0.395, 0.000122618, 0, 1.00534e-08, 0.0265273
100.5, 0.405, 0.00010619, 0, 8.77325e-09, 0.0260009
100.5, 0.415, 9.12592e-05, 0, 7.56391e-09, 0.0277122
100.5, 0.425, 7.77295e-05, 0, 6.47685e-09, 0.0269794
100.5, 0.435, 6.55117e-05, 0, 5.49078e-09, 0.0273422
100.5, 0.445, 5.45246e-05, 0, 4.59913e-09, 0.0273287
100.5, 0.455, 4.46951e-05, 0, 3.79898e-09, 0.0259272
100.5, 0.465, 3.59571e-05, 0, 3.08038e-09, 0.0277256
100.5, 0.475, 2.82512e-05, 0, 2.43882e-09, 0.0277921
100.5, 0.485, 2.15235e-05, 0, 1.8752e-09, 0.028601
100.5, 0.495, 1.57255e-05, 0, 1.38161e-09, 0.0286631
100.5, 0.505, 1.08131e-05, 0, 9.572e-10, 0.0268609
100.5, 0.515, 6.74582e-06, 0, 5.95608e-10, 0.0282805
100.5, 0.525, 3.48633e-06, 0, 2.91984e-10, 0.0265591
100.5, 0.535, 9.99736e-07, 0, 7.81975e-11, 0.000681755
100.5, 0.545, -7.47027e-07, 0, 4.98224e-11, 0.0128479
